text,priority,sentiment
Projector not working in seminar hall in Block C,Medium,Calm
Urgent: bus did not come and students are stranded,High,Angry
Exam timetable is confusing,Medium,Frustrated
Exam results are delayed please update in Block C,Medium,Calm
Urgent: internal marks not showing in portal,Medium,Calm
Urgent: library seating is insufficient,Low,Frustrated
IT issues disrupting submissions since yesterday,High,Frustrated
Urgent: exam hall arrangements very poor,High,Frustrated
Projector not working in seminar hall since yesterday,Medium,Calm
Bonafide certificate request pending multiple times reported,Medium,Calm
Library closes slightly early since yesterday,Low,Calm
Library closes slightly early multiple times reported,Low,Calm
Hostel bathroom is filthy and unacceptable,High,Angry
Urgent: wifi is slow and affecting studies,Medium,Frustrated
Water leakage in lab multiple times reported,Medium,Calm
Urgent: projector not working in seminar hall,Medium,Calm
Classroom is too warm multiple times reported,Low,Frustrated
Bonafide certificate request pending in Block C,Medium,Calm
IT issues disrupting submissions multiple times reported,High,Frustrated
Exam results are delayed please update since yesterday,Medium,Calm
Hostel water issue happening repeatedly multiple times reported,High,Frustrated
Bus timing is manageable,Low,Calm
Hostel bathroom is filthy and unacceptable multiple times reported,High,Angry
Parking space is poorly managed,Low,Frustrated
Classroom is too warm,Low,Frustrated
Projector not working in seminar hall multiple times reported,Medium,Calm
Urgent: internal marks not showing in portal,Medium,Calm
Urgent: exam results are delayed please update,Medium,Calm
Parking space is poorly managed since yesterday,Low,Frustrated
Urgent: classroom fan makes noise,Low,Calm
Bus did not come and students are stranded since yesterday,High,Angry
Ragging happening and no action taken since yesterday,High,Angry
Urgent: fees portal keeps failing,Medium,Frustrated
Bus timing is manageable,Low,Calm
Bus did not come and students are stranded since yesterday,High,Angry
Exam results are delayed please update since yesterday,Medium,Calm
Classroom fan makes noise multiple times reported,Low,Calm
Library closes slightly early in Block C,Low,Calm
Canteen prices are high and irritating multiple times reported,Low,Frustrated
Urgent: wifi is a bit slow but okay,Low,Calm
Urgent: fees portal keeps failing,Medium,Frustrated
WiFi is slow and affecting studies since yesterday,Medium,Frustrated
WiFi is a bit slow but okay multiple times reported,Low,Calm
Hostel water issue happening repeatedly,High,Frustrated
Bus timing is manageable,Low,Calm
Urgent: hostel water issue happening repeatedly,High,Frustrated
Canteen food could be better in Block C,Low,Calm
Canteen prices are high and irritating since yesterday,Low,Frustrated
Bonafide certificate request pending multiple times reported,Medium,Calm
Exam timetable is confusing since yesterday,Medium,Frustrated
WiFi completely down and nobody responds multiple times reported,High,Angry
Classroom is too warm,Low,Frustrated
Urgent: wifi is a bit slow but okay,Low,Calm
Bus did not come and students are stranded,High,Angry
Bus is late again and it's annoying,Medium,Frustrated
Urgent: classroom fan makes noise,Low,Calm
Exam results are delayed please update in Block C,Medium,Calm
IT issues disrupting submissions in Block C,High,Frustrated
Bus timing is manageable since yesterday,Low,Calm
Hostel bathroom is filthy and unacceptable in Block C,High,Angry
Internal marks not showing in portal in Block C,Medium,Calm
Bonafide certificate request pending in Block C,Medium,Calm
Safety issue reported multiple times ignored,High,Angry
WiFi completely down and nobody responds,High,Angry
Canteen prices are high and irritating in Block C,Low,Frustrated
Internal marks not showing in portal in Block C,Medium,Calm
Projector not working in seminar hall,Medium,Calm
Urgent: exam timetable is confusing,Medium,Frustrated
Canteen food could be better multiple times reported,Low,Calm
Bus overcrowding causing problems,High,Frustrated
Urgent: canteen food could be better,Low,Calm
Urgent: sports equipment is damaged,Low,Frustrated
Canteen prices are high and irritating in Block C,Low,Frustrated
Bus is late again and it's annoying since yesterday,Medium,Frustrated
Exam hall arrangements very poor in Block C,High,Frustrated
Library seating is insufficient,Low,Frustrated
Ragging happening and no action taken in Block C,High,Angry
Canteen prices are high and irritating in Block C,Low,Frustrated
Urgent: exam timetable is confusing,Medium,Frustrated
Fees portal keeps failing in Block C,Medium,Frustrated
Bus did not come and students are stranded since yesterday,High,Angry
WiFi is slow and affecting studies since yesterday,Medium,Frustrated
Canteen prices are high and irritating,Low,Frustrated
WiFi is slow and affecting studies since yesterday,Medium,Frustrated
Urgent: faculty missing classes frequently,High,Frustrated
Library closes slightly early since yesterday,Low,Calm
Exam hall arrangements very poor since yesterday,High,Frustrated
WiFi is a bit slow but okay in Block C,Low,Calm
Urgent: canteen food could be better,Low,Calm
IT issues disrupting submissions in Block C,High,Frustrated
Urgent: ragging happening and no action taken,High,Angry
Internal marks not showing in portal multiple times reported,Medium,Calm
Urgent: wifi is a bit slow but okay,Low,Calm
Library seating is insufficient in Block C,Low,Frustrated
Ragging happening and no action taken since yesterday,High,Angry
Parking space is poorly managed multiple times reported,Low,Frustrated
WiFi is slow and affecting studies since yesterday,Medium,Frustrated
WiFi is slow and affecting studies multiple times reported,Medium,Frustrated
Water leakage in lab since yesterday,Medium,Calm
Ragging happening and no action taken in Block C,High,Angry
Urgent: bus is late again and it's annoying,Medium,Frustrated
Hostel bathroom is filthy and unacceptable multiple times reported,High,Angry
IT issues disrupting submissions multiple times reported,High,Frustrated
Faculty missing classes frequently,High,Frustrated
Library closes slightly early since yesterday,Low,Calm
IT issues disrupting submissions in Block C,High,Frustrated
Sports equipment is damaged,Low,Frustrated
Urgent: faculty missing classes frequently,High,Frustrated
Bus did not come and students are stranded multiple times reported,High,Angry
Internal marks not showing in portal,Medium,Calm
Fees portal keeps failing multiple times reported,Medium,Frustrated
Faculty missing classes frequently in Block C,High,Frustrated
Urgent: wifi is slow and affecting studies,Medium,Frustrated
Urgent: water leakage in lab,Medium,Calm
Safety issue reported multiple times ignored,High,Angry
Bus overcrowding causing problems since yesterday,High,Frustrated
WiFi completely down and nobody responds in Block C,High,Angry
Faculty is not responding to doubts since yesterday,Medium,Frustrated
Hostel bathroom is filthy and unacceptable in Block C,High,Angry
WiFi is a bit slow but okay since yesterday,Low,Calm
Urgent: sports equipment is damaged,Low,Frustrated
Exam timetable is confusing since yesterday,Medium,Frustrated
Urgent: classroom is too warm,Low,Frustrated
Parking space is poorly managed since yesterday,Low,Frustrated
Bus timing is manageable multiple times reported,Low,Calm
Urgent: canteen food could be better,Low,Calm
Water leakage in lab in Block C,Medium,Calm
Hostel bathroom is filthy and unacceptable in Block C,High,Angry
Hostel bathroom is filthy and unacceptable multiple times reported,High,Angry
Projector not working in seminar hall in Block C,Medium,Calm
Sports equipment is damaged since yesterday,Low,Frustrated
Urgent: hostel bathroom is filthy and unacceptable,High,Angry
Faculty missing classes frequently since yesterday,High,Frustrated
Hostel bathroom is filthy and unacceptable multiple times reported,High,Angry
Urgent: water leakage in lab,Medium,Calm
Library seating is insufficient,Low,Frustrated
Urgent: wifi is slow and affecting studies,Medium,Frustrated
Ragging happening and no action taken multiple times reported,High,Angry
Exam timetable is confusing,Medium,Frustrated
Urgent: sports equipment is damaged,Low,Frustrated
Bus did not come and students are stranded since yesterday,High,Angry
Exam hall arrangements very poor,High,Frustrated
Safety issue reported multiple times ignored,High,Angry
Urgent: internal marks not showing in portal,Medium,Calm
Fees portal keeps failing multiple times reported,Medium,Frustrated
Library closes slightly early in Block C,Low,Calm
IT issues disrupting submissions in Block C,High,Frustrated
Bus is late again and it's annoying multiple times reported,Medium,Frustrated
Classroom is too warm in Block C,Low,Frustrated
Classroom is too warm,Low,Frustrated
Urgent: wifi is a bit slow but okay,Low,Calm
Faculty is not responding to doubts since yesterday,Medium,Frustrated
Hostel bathroom is filthy and unacceptable since yesterday,High,Angry
Fees portal keeps failing since yesterday,Medium,Frustrated
Bus is late again and it's annoying since yesterday,Medium,Frustrated
Bus is late again and it's annoying in Block C,Medium,Frustrated
Bus is late again and it's annoying multiple times reported,Medium,Frustrated
Urgent: faculty missing classes frequently,High,Frustrated
Classroom fan makes noise,Low,Calm
Exam results are delayed please update multiple times reported,Medium,Calm
Projector not working in seminar hall,Medium,Calm
Fees portal keeps failing since yesterday,Medium,Frustrated
Exam timetable is confusing multiple times reported,Medium,Frustrated
Hostel water issue happening repeatedly multiple times reported,High,Frustrated
Canteen food could be better multiple times reported,Low,Calm
Library seating is insufficient since yesterday,Low,Frustrated
Classroom is too warm since yesterday,Low,Frustrated
Urgent: bus did not come and students are stranded,High,Angry
Urgent: water leakage in lab,Medium,Calm
Urgent: fees portal keeps failing,Medium,Frustrated
Water leakage in lab multiple times reported,Medium,Calm
Urgent: exam timetable is confusing,Medium,Frustrated
Canteen food could be better since yesterday,Low,Calm
Internal marks not showing in portal,Medium,Calm
Fees portal keeps failing since yesterday,Medium,Frustrated
Classroom is too warm since yesterday,Low,Frustrated
Faculty is not responding to doubts in Block C,Medium,Frustrated
Urgent: bus overcrowding causing problems,High,Frustrated
Urgent: fees portal keeps failing,Medium,Frustrated
Classroom is too warm multiple times reported,Low,Frustrated
Exam results are delayed please update since yesterday,Medium,Calm
WiFi is a bit slow but okay since yesterday,Low,Calm
Urgent: safety issue reported multiple times ignored,High,Angry
Urgent: ragging happening and no action taken,High,Angry
Water leakage in lab in Block C,Medium,Calm
Urgent: exam hall arrangements very poor,High,Frustrated
Classroom fan makes noise,Low,Calm
IT issues disrupting submissions in Block C,High,Frustrated
IT issues disrupting submissions in Block C,High,Frustrated
Water leakage in lab,Medium,Calm
Library closes slightly early since yesterday,Low,Calm
Urgent: library seating is insufficient,Low,Frustrated
Bus overcrowding causing problems in Block C,High,Frustrated
Ragging happening and no action taken since yesterday,High,Angry
Ragging happening and no action taken since yesterday,High,Angry
Ragging happening and no action taken multiple times reported,High,Angry
WiFi is slow and affecting studies multiple times reported,Medium,Frustrated
WiFi completely down and nobody responds multiple times reported,High,Angry
Canteen food could be better,Low,Calm
Urgent: exam timetable is confusing,Medium,Frustrated
Projector not working in seminar hall since yesterday,Medium,Calm
Exam hall arrangements very poor in Block C,High,Frustrated
Parking space is poorly managed multiple times reported,Low,Frustrated
Classroom is too warm multiple times reported,Low,Frustrated
Bus did not come and students are stranded multiple times reported,High,Angry
Urgent: safety issue reported multiple times ignored,High,Angry
Classroom fan makes noise since yesterday,Low,Calm
Ragging happening and no action taken,High,Angry
Sports equipment is damaged in Block C,Low,Frustrated
Bus did not come and students are stranded in Block C,High,Angry
Exam results are delayed please update in Block C,Medium,Calm
Hostel water issue happening repeatedly in Block C,High,Frustrated
Bus overcrowding causing problems multiple times reported,High,Frustrated
Hostel water issue happening repeatedly,High,Frustrated
Ragging happening and no action taken multiple times reported,High,Angry
Safety issue reported multiple times ignored in Block C,High,Angry
Bus timing is manageable in Block C,Low,Calm
Faculty is not responding to doubts,Medium,Frustrated
Classroom is too warm since yesterday,Low,Frustrated
Internal marks not showing in portal,Medium,Calm
Ragging happening and no action taken since yesterday,High,Angry
Canteen food could be better multiple times reported,Low,Calm
Faculty is not responding to doubts,Medium,Frustrated
Library closes slightly early multiple times reported,Low,Calm
Urgent: library seating is insufficient,Low,Frustrated
Urgent: bonafide certificate request pending,Medium,Calm
Urgent: wifi is a bit slow but okay,Low,Calm
Hostel bathroom is filthy and unacceptable since yesterday,High,Angry
Faculty missing classes frequently multiple times reported,High,Frustrated
Faculty missing classes frequently,High,Frustrated
Hostel bathroom is filthy and unacceptable,High,Angry
Urgent: hostel water issue happening repeatedly,High,Frustrated
Classroom fan makes noise multiple times reported,Low,Calm
Bus did not come and students are stranded since yesterday,High,Angry
Bus is late again and it's annoying,Medium,Frustrated
Safety issue reported multiple times ignored,High,Angry
Urgent: library seating is insufficient,Low,Frustrated
Sports equipment is damaged since yesterday,Low,Frustrated
Exam results are delayed please update in Block C,Medium,Calm
Faculty missing classes frequently since yesterday,High,Frustrated
Bonafide certificate request pending in Block C,Medium,Calm
IT issues disrupting submissions in Block C,High,Frustrated
Ragging happening and no action taken since yesterday,High,Angry
Ragging happening and no action taken multiple times reported,High,Angry
Bus overcrowding causing problems since yesterday,High,Frustrated
Canteen food could be better since yesterday,Low,Calm
WiFi is slow and affecting studies,Medium,Frustrated
Urgent: exam hall arrangements very poor,High,Frustrated
Bonafide certificate request pending in Block C,Medium,Calm
Canteen food could be better multiple times reported,Low,Calm
Exam hall arrangements very poor in Block C,High,Frustrated
Bus timing is manageable since yesterday,Low,Calm
Bonafide certificate request pending in Block C,Medium,Calm
IT issues disrupting submissions,High,Frustrated
Classroom is too warm in Block C,Low,Frustrated
Classroom is too warm,Low,Frustrated
Classroom is too warm in Block C,Low,Frustrated
Internal marks not showing in portal multiple times reported,Medium,Calm
Exam timetable is confusing,Medium,Frustrated
Internal marks not showing in portal since yesterday,Medium,Calm
Bonafide certificate request pending,Medium,Calm
Urgent: water leakage in lab,Medium,Calm
Canteen prices are high and irritating multiple times reported,Low,Frustrated
Sports equipment is damaged multiple times reported,Low,Frustrated
Exam hall arrangements very poor since yesterday,High,Frustrated
Canteen food could be better multiple times reported,Low,Calm
WiFi is a bit slow but okay in Block C,Low,Calm
WiFi is slow and affecting studies,Medium,Frustrated
Exam hall arrangements very poor since yesterday,High,Frustrated
Bonafide certificate request pending since yesterday,Medium,Calm
Bus is late again and it's annoying,Medium,Frustrated
Water leakage in lab since yesterday,Medium,Calm
Sports equipment is damaged in Block C,Low,Frustrated
Parking space is poorly managed since yesterday,Low,Frustrated
Classroom is too warm in Block C,Low,Frustrated
Library seating is insufficient since yesterday,Low,Frustrated
Exam hall arrangements very poor multiple times reported,High,Frustrated
Internal marks not showing in portal multiple times reported,Medium,Calm
Fees portal keeps failing multiple times reported,Medium,Frustrated
Urgent: bus did not come and students are stranded,High,Angry
Faculty missing classes frequently in Block C,High,Frustrated
Bus overcrowding causing problems multiple times reported,High,Frustrated
Canteen prices are high and irritating multiple times reported,Low,Frustrated
Projector not working in seminar hall multiple times reported,Medium,Calm
Urgent: wifi is slow and affecting studies,Medium,Frustrated
Bus did not come and students are stranded multiple times reported,High,Angry
Classroom fan makes noise since yesterday,Low,Calm
Classroom fan makes noise in Block C,Low,Calm
WiFi is a bit slow but okay multiple times reported,Low,Calm
Canteen food could be better multiple times reported,Low,Calm
Bus timing is manageable since yesterday,Low,Calm
Safety issue reported multiple times ignored,High,Angry
Canteen prices are high and irritating since yesterday,Low,Frustrated
Urgent: faculty is not responding to doubts,Medium,Frustrated
Internal marks not showing in portal in Block C,Medium,Calm
Projector not working in seminar hall,Medium,Calm
Urgent: bus overcrowding causing problems,High,Frustrated
Library seating is insufficient,Low,Frustrated
Canteen food could be better since yesterday,Low,Calm
Library seating is insufficient multiple times reported,Low,Frustrated
Exam results are delayed please update,Medium,Calm
Bus did not come and students are stranded,High,Angry
WiFi completely down and nobody responds since yesterday,High,Angry
Library closes slightly early since yesterday,Low,Calm
Hostel bathroom is filthy and unacceptable multiple times reported,High,Angry
IT issues disrupting submissions multiple times reported,High,Frustrated
Urgent: bus is late again and it's annoying,Medium,Frustrated
Internal marks not showing in portal in Block C,Medium,Calm
Urgent: faculty is not responding to doubts,Medium,Frustrated
Bus timing is manageable since yesterday,Low,Calm
Bus timing is manageable in Block C,Low,Calm
IT issues disrupting submissions since yesterday,High,Frustrated
Classroom is too warm in Block C,Low,Frustrated
Urgent: classroom fan makes noise,Low,Calm
Safety issue reported multiple times ignored,High,Angry
Canteen food could be better multiple times reported,Low,Calm
Urgent: exam timetable is confusing,Medium,Frustrated
Parking space is poorly managed,Low,Frustrated
Canteen food could be better since yesterday,Low,Calm
Exam timetable is confusing multiple times reported,Medium,Frustrated
Bus overcrowding causing problems in Block C,High,Frustrated
Classroom is too warm since yesterday,Low,Frustrated
Urgent: wifi is slow and affecting studies,Medium,Frustrated
Urgent: hostel water issue happening repeatedly,High,Frustrated
Ragging happening and no action taken since yesterday,High,Angry
Hostel bathroom is filthy and unacceptable,High,Angry
Urgent: canteen food could be better,Low,Calm
Faculty missing classes frequently,High,Frustrated
Internal marks not showing in portal in Block C,Medium,Calm
Bus is late again and it's annoying since yesterday,Medium,Frustrated
Bus overcrowding causing problems multiple times reported,High,Frustrated
Parking space is poorly managed since yesterday,Low,Frustrated
Classroom is too warm since yesterday,Low,Frustrated
Hostel bathroom is filthy and unacceptable multiple times reported,High,Angry
Projector not working in seminar hall multiple times reported,Medium,Calm
Library closes slightly early in Block C,Low,Calm
WiFi is slow and affecting studies since yesterday,Medium,Frustrated
Urgent: wifi is slow and affecting studies,Medium,Frustrated
Projector not working in seminar hall since yesterday,Medium,Calm
Exam results are delayed please update multiple times reported,Medium,Calm
Urgent: internal marks not showing in portal,Medium,Calm
Library seating is insufficient in Block C,Low,Frustrated
Fees portal keeps failing multiple times reported,Medium,Frustrated
WiFi completely down and nobody responds multiple times reported,High,Angry
Urgent: classroom is too warm,Low,Frustrated
Bus did not come and students are stranded,High,Angry
Bus timing is manageable multiple times reported,Low,Calm
Urgent: classroom is too warm,Low,Frustrated
Projector not working in seminar hall,Medium,Calm
Hostel water issue happening repeatedly multiple times reported,High,Frustrated
Bus timing is manageable multiple times reported,Low,Calm
Classroom is too warm multiple times reported,Low,Frustrated
Bus timing is manageable since yesterday,Low,Calm
Parking space is poorly managed since yesterday,Low,Frustrated
Exam hall arrangements very poor since yesterday,High,Frustrated
Urgent: hostel bathroom is filthy and unacceptable,High,Angry
Bonafide certificate request pending since yesterday,Medium,Calm
Bus is late again and it's annoying since yesterday,Medium,Frustrated
Bus timing is manageable multiple times reported,Low,Calm
Exam timetable is confusing multiple times reported,Medium,Frustrated
Exam hall arrangements very poor multiple times reported,High,Frustrated
Exam timetable is confusing,Medium,Frustrated
Bonafide certificate request pending,Medium,Calm
Sports equipment is damaged in Block C,Low,Frustrated
Urgent: classroom fan makes noise,Low,Calm
IT issues disrupting submissions since yesterday,High,Frustrated
Bus is late again and it's annoying,Medium,Frustrated
Bonafide certificate request pending,Medium,Calm
Library seating is insufficient,Low,Frustrated
Sports equipment is damaged in Block C,Low,Frustrated
Bus did not come and students are stranded in Block C,High,Angry
Urgent: wifi is slow and affecting studies,Medium,Frustrated
Library seating is insufficient,Low,Frustrated
WiFi is a bit slow but okay multiple times reported,Low,Calm
Faculty is not responding to doubts in Block C,Medium,Frustrated
Bus overcrowding causing problems multiple times reported,High,Frustrated
WiFi is a bit slow but okay,Low,Calm
WiFi is slow and affecting studies multiple times reported,Medium,Frustrated
Urgent: ragging happening and no action taken,High,Angry
Exam timetable is confusing multiple times reported,Medium,Frustrated
Urgent: wifi is a bit slow but okay,Low,Calm
Exam timetable is confusing in Block C,Medium,Frustrated
Urgent: classroom fan makes noise,Low,Calm
Urgent: bus is late again and it's annoying,Medium,Frustrated
Urgent: ragging happening and no action taken,High,Angry
Classroom is too warm multiple times reported,Low,Frustrated
Hostel water issue happening repeatedly,High,Frustrated
Bus is late again and it's annoying in Block C,Medium,Frustrated
Library seating is insufficient,Low,Frustrated
Faculty is not responding to doubts in Block C,Medium,Frustrated
WiFi is a bit slow but okay multiple times reported,Low,Calm
Faculty is not responding to doubts multiple times reported,Medium,Frustrated
Library seating is insufficient,Low,Frustrated
Bus overcrowding causing problems since yesterday,High,Frustrated
Bus timing is manageable since yesterday,Low,Calm
Canteen prices are high and irritating in Block C,Low,Frustrated
Urgent: bus timing is manageable,Low,Calm
Library seating is insufficient since yesterday,Low,Frustrated
WiFi is a bit slow but okay in Block C,Low,Calm
Classroom fan makes noise multiple times reported,Low,Calm
Bus did not come and students are stranded since yesterday,High,Angry
WiFi is slow and affecting studies multiple times reported,Medium,Frustrated
Exam timetable is confusing multiple times reported,Medium,Frustrated
Canteen food could be better since yesterday,Low,Calm
Urgent: canteen prices are high and irritating,Low,Frustrated
Classroom fan makes noise since yesterday,Low,Calm
Bus overcrowding causing problems,High,Frustrated
Urgent: bus timing is manageable,Low,Calm
IT issues disrupting submissions multiple times reported,High,Frustrated
Internal marks not showing in portal since yesterday,Medium,Calm
Canteen food could be better since yesterday,Low,Calm
Urgent: exam results are delayed please update,Medium,Calm
Parking space is poorly managed multiple times reported,Low,Frustrated
Library seating is insufficient multiple times reported,Low,Frustrated
Urgent: hostel water issue happening repeatedly,High,Frustrated
Urgent: parking space is poorly managed,Low,Frustrated
Internal marks not showing in portal multiple times reported,Medium,Calm
Parking space is poorly managed in Block C,Low,Frustrated
Projector not working in seminar hall since yesterday,Medium,Calm
Canteen prices are high and irritating in Block C,Low,Frustrated
Projector not working in seminar hall,Medium,Calm
Library closes slightly early multiple times reported,Low,Calm
Faculty is not responding to doubts since yesterday,Medium,Frustrated
Hostel water issue happening repeatedly,High,Frustrated
WiFi completely down and nobody responds since yesterday,High,Angry
Bus is late again and it's annoying,Medium,Frustrated
WiFi is a bit slow but okay multiple times reported,Low,Calm
Hostel water issue happening repeatedly in Block C,High,Frustrated
IT issues disrupting submissions since yesterday,High,Frustrated
Urgent: classroom fan makes noise,Low,Calm
Faculty missing classes frequently,High,Frustrated
WiFi is a bit slow but okay in Block C,Low,Calm
Fees portal keeps failing,Medium,Frustrated
WiFi is a bit slow but okay since yesterday,Low,Calm
Fees portal keeps failing,Medium,Frustrated
WiFi completely down and nobody responds,High,Angry
Parking space is poorly managed in Block C,Low,Frustrated
Urgent: ragging happening and no action taken,High,Angry
WiFi completely down and nobody responds multiple times reported,High,Angry
WiFi completely down and nobody responds,High,Angry
Bus did not come and students are stranded,High,Angry
Projector not working in seminar hall multiple times reported,Medium,Calm
Sports equipment is damaged in Block C,Low,Frustrated
Urgent: library closes slightly early,Low,Calm
Bus timing is manageable,Low,Calm
Library seating is insufficient multiple times reported,Low,Frustrated
Internal marks not showing in portal,Medium,Calm
WiFi completely down and nobody responds since yesterday,High,Angry
Water leakage in lab,Medium,Calm
Classroom fan makes noise in Block C,Low,Calm
Internal marks not showing in portal since yesterday,Medium,Calm
WiFi is a bit slow but okay multiple times reported,Low,Calm
Urgent: hostel water issue happening repeatedly,High,Frustrated
Urgent: classroom is too warm,Low,Frustrated
IT issues disrupting submissions multiple times reported,High,Frustrated
Projector not working in seminar hall multiple times reported,Medium,Calm
Urgent: wifi completely down and nobody responds,High,Angry
Urgent: library seating is insufficient,Low,Frustrated
Library seating is insufficient in Block C,Low,Frustrated
Urgent: projector not working in seminar hall,Medium,Calm
Projector not working in seminar hall in Block C,Medium,Calm
IT issues disrupting submissions multiple times reported,High,Frustrated
Bonafide certificate request pending,Medium,Calm
Faculty missing classes frequently,High,Frustrated
WiFi completely down and nobody responds,High,Angry
Bus did not come and students are stranded multiple times reported,High,Angry
Bus did not come and students are stranded since yesterday,High,Angry
Urgent: faculty missing classes frequently,High,Frustrated
Bus timing is manageable multiple times reported,Low,Calm
Parking space is poorly managed since yesterday,Low,Frustrated
Exam timetable is confusing in Block C,Medium,Frustrated
Urgent: library closes slightly early,Low,Calm
Urgent: canteen prices are high and irritating,Low,Frustrated
Hostel water issue happening repeatedly since yesterday,High,Frustrated
Library seating is insufficient since yesterday,Low,Frustrated
Urgent: exam results are delayed please update,Medium,Calm
Safety issue reported multiple times ignored,High,Angry
Exam results are delayed please update in Block C,Medium,Calm
Library seating is insufficient,Low,Frustrated
Urgent: wifi is a bit slow but okay,Low,Calm
Urgent: classroom fan makes noise,Low,Calm
Classroom fan makes noise since yesterday,Low,Calm
Urgent: projector not working in seminar hall,Medium,Calm
Canteen food could be better,Low,Calm
WiFi is a bit slow but okay since yesterday,Low,Calm
Bus timing is manageable,Low,Calm
Bus timing is manageable,Low,Calm
Hostel bathroom is filthy and unacceptable in Block C,High,Angry
WiFi completely down and nobody responds since yesterday,High,Angry
Projector not working in seminar hall in Block C,Medium,Calm
Bonafide certificate request pending multiple times reported,Medium,Calm
Bus timing is manageable since yesterday,Low,Calm
Urgent: bus overcrowding causing problems,High,Frustrated
Urgent: hostel bathroom is filthy and unacceptable,High,Angry
Faculty missing classes frequently since yesterday,High,Frustrated
WiFi is a bit slow but okay,Low,Calm
Urgent: fees portal keeps failing,Medium,Frustrated
Urgent: water leakage in lab,Medium,Calm
Urgent: bus timing is manageable,Low,Calm
Faculty missing classes frequently,High,Frustrated
Exam results are delayed please update,Medium,Calm
Exam results are delayed please update,Medium,Calm
Projector not working in seminar hall in Block C,Medium,Calm
Fees portal keeps failing since yesterday,Medium,Frustrated
Exam results are delayed please update since yesterday,Medium,Calm
Hostel bathroom is filthy and unacceptable,High,Angry
Urgent: exam timetable is confusing,Medium,Frustrated
Faculty is not responding to doubts since yesterday,Medium,Frustrated
Classroom is too warm,Low,Frustrated
Urgent: wifi is slow and affecting studies,Medium,Frustrated
Urgent: parking space is poorly managed,Low,Frustrated
Urgent: classroom is too warm,Low,Frustrated
Canteen food could be better since yesterday,Low,Calm
Hostel bathroom is filthy and unacceptable in Block C,High,Angry
Sports equipment is damaged in Block C,Low,Frustrated
Hostel water issue happening repeatedly in Block C,High,Frustrated
Exam hall arrangements very poor since yesterday,High,Frustrated
Water leakage in lab in Block C,Medium,Calm
Safety issue reported multiple times ignored in Block C,High,Angry
Canteen prices are high and irritating since yesterday,Low,Frustrated
Urgent: projector not working in seminar hall,Medium,Calm
Hostel bathroom is filthy and unacceptable multiple times reported,High,Angry
Bus overcrowding causing problems,High,Frustrated
WiFi is a bit slow but okay since yesterday,Low,Calm
Exam timetable is confusing since yesterday,Medium,Frustrated
WiFi completely down and nobody responds in Block C,High,Angry
Urgent: classroom fan makes noise,Low,Calm
Urgent: classroom is too warm,Low,Frustrated
Exam hall arrangements very poor in Block C,High,Frustrated
Safety issue reported multiple times ignored,High,Angry
WiFi completely down and nobody responds in Block C,High,Angry
Faculty missing classes frequently in Block C,High,Frustrated
Sports equipment is damaged,Low,Frustrated
Water leakage in lab in Block C,Medium,Calm
Projector not working in seminar hall,Medium,Calm
Urgent: it issues disrupting submissions,High,Frustrated
Exam hall arrangements very poor multiple times reported,High,Frustrated
Ragging happening and no action taken multiple times reported,High,Angry
Urgent: canteen prices are high and irritating,Low,Frustrated
Hostel water issue happening repeatedly since yesterday,High,Frustrated
Fees portal keeps failing since yesterday,Medium,Frustrated
Projector not working in seminar hall since yesterday,Medium,Calm
Urgent: hostel bathroom is filthy and unacceptable,High,Angry
Classroom fan makes noise in Block C,Low,Calm
Library closes slightly early,Low,Calm
Urgent: faculty is not responding to doubts,Medium,Frustrated
Library closes slightly early,Low,Calm
Classroom is too warm,Low,Frustrated
Exam timetable is confusing since yesterday,Medium,Frustrated
Internal marks not showing in portal multiple times reported,Medium,Calm
Bus timing is manageable,Low,Calm
WiFi is a bit slow but okay in Block C,Low,Calm
WiFi is slow and affecting studies,Medium,Frustrated
WiFi completely down and nobody responds since yesterday,High,Angry
WiFi is slow and affecting studies since yesterday,Medium,Frustrated
WiFi completely down and nobody responds,High,Angry
Urgent: ragging happening and no action taken,High,Angry
Canteen food could be better in Block C,Low,Calm
WiFi is slow and affecting studies in Block C,Medium,Frustrated
Urgent: ragging happening and no action taken,High,Angry
Safety issue reported multiple times ignored since yesterday,High,Angry
Water leakage in lab since yesterday,Medium,Calm
Bus overcrowding causing problems,High,Frustrated
Hostel bathroom is filthy and unacceptable,High,Angry
Canteen food could be better multiple times reported,Low,Calm
Bus overcrowding causing problems since yesterday,High,Frustrated
Urgent: wifi is slow and affecting studies,Medium,Frustrated
WiFi completely down and nobody responds,High,Angry
Urgent: faculty missing classes frequently,High,Frustrated
Canteen food could be better,Low,Calm
Hostel bathroom is filthy and unacceptable,High,Angry
Safety issue reported multiple times ignored,High,Angry
Faculty is not responding to doubts in Block C,Medium,Frustrated
Urgent: parking space is poorly managed,Low,Frustrated
Hostel water issue happening repeatedly,High,Frustrated
Exam hall arrangements very poor multiple times reported,High,Frustrated
Urgent: library seating is insufficient,Low,Frustrated
Bus overcrowding causing problems in Block C,High,Frustrated
Internal marks not showing in portal in Block C,Medium,Calm
Water leakage in lab multiple times reported,Medium,Calm
IT issues disrupting submissions in Block C,High,Frustrated
WiFi is a bit slow but okay since yesterday,Low,Calm
Water leakage in lab multiple times reported,Medium,Calm
Ragging happening and no action taken multiple times reported,High,Angry
Library seating is insufficient,Low,Frustrated
Urgent: canteen prices are high and irritating,Low,Frustrated
