text,category
Duplicate fee charged since yesterday,Fees / Admin
Fee receipt not generated during peak hours,Fees / Admin
No CCTV in corridor in Block C,Ragging / Safety
Exam center changed suddenly in Block C,Exams / Results
Urgent: water leakage in lab,Infrastructure
Result portal is not loading since yesterday,Exams / Results
VPN access is failing in Block C,IT / WiFi
Broken bench in classroom since yesterday,Infrastructure
Suspicious activity near hostel gate since yesterday,Ragging / Safety
Bonafide certificate delayed in Block C,Fees / Admin
Lights are not working in corridor,Infrastructure
Two-factor authentication not working during peak hours,IT / WiFi
Ragging happening near canteen during peak hours,Ragging / Safety
Bullying in college campus in Block C,Ragging / Safety
Unable to login to student portal since yesterday,IT / WiFi
Drinking water cooler not working in hostel,Hostel
Canteen is overcrowded during peak hours,Canteen
Class is too fast to understand in Block C,Faculty / Academics
Urgent: question paper had errors,Exams / Results
Bus breakdown on the way during peak hours,Transport
Classroom speakers not working,Infrastructure
Driver drives rashly during peak hours,Transport
Need more cultural events in Block C,Other
Admin staff is rude since yesterday,Fees / Admin
Ragging happening near canteen since yesterday,Ragging / Safety
Password reset not working,IT / WiFi
Urgent: poor lighting in parking area,Ragging / Safety
Faculty behavior is rude,Faculty / Academics
Urgent: hostel wifi not working,Hostel
Canteen closes too early,Canteen
Verbal abuse by seniors,Ragging / Safety
Two-factor authentication not working,IT / WiFi
Bus seats are damaged in Block C,Transport
Food is overpriced in canteen during peak hours,Canteen
Drinking water cooler not working in hostel,Hostel
Security is not available in block B,Ragging / Safety
Urgent: no hygienic conditions in canteen,Canteen
Urgent: need career guidance sessions,Other
Seniors are harassing juniors in Block C,Ragging / Safety
Mosquito problem in hostel room since yesterday,Hostel
Duplicate fee charged since yesterday,Fees / Admin
Revaluation result pending,Exams / Results
Water leakage in lab since yesterday,Infrastructure
Result correction request pending during peak hours,Exams / Results
Bus cleanliness is poor during peak hours,Transport
Urgent: bus pass not issued,Transport
Urgent: internal marks not showing,Exams / Results
Two-factor authentication not working since yesterday,IT / WiFi
Office hours unclear since yesterday,Fees / Admin
Hostel common area is unhygienic since yesterday,Hostel
Feedback not considered,Faculty / Academics
Urgent: suspicious activity near hostel gate,Ragging / Safety
Urgent: security is not available in block b,Ragging / Safety
No guidance for projects since yesterday,Faculty / Academics
Emergency helpline not responding during peak hours,Ragging / Safety
Urgent: room light is flickering in hostel,Hostel
Wrong marks updated in portal during peak hours,Exams / Results
Bed is broken in hostel room in Block C,Hostel
Canteen closes too early in Block C,Canteen
Food is stale since yesterday,Canteen
Bus seats are damaged in Block C,Transport
Need career guidance sessions,Other
Urgent: wifi is not working in the lab,IT / WiFi
No notes provided by faculty during peak hours,Faculty / Academics
Teaching quality is poor during peak hours,Faculty / Academics
No hygienic conditions in canteen in Block C,Canteen
Teacher is not explaining properly in Block C,Faculty / Academics
Room light is flickering in hostel in Block C,Hostel
Duplicate fee charged since yesterday,Fees / Admin
WiFi disconnects frequently in Block C,IT / WiFi
Bonafide certificate delayed during peak hours,Fees / Admin
Utensils are dirty during peak hours,Canteen
Bus timings are inconvenient since yesterday,Transport
Class is too fast to understand during peak hours,Faculty / Academics
Urgent: refund not processed,Fees / Admin
Room light is flickering in hostel in Block C,Hostel
No announcement about bus delays in Block C,Transport
Campus is too crowded in Block C,Other
Exam center changed suddenly in Block C,Exams / Results
Food is stale in Block C,Canteen
Teaching quality is poor since yesterday,Faculty / Academics
No dustbin in corridor during peak hours,Infrastructure
Faculty is absent frequently,Faculty / Academics
Urgent: poor lighting in parking area,Ragging / Safety
Bullying in college campus during peak hours,Ragging / Safety
Hostel common area is unhygienic,Hostel
Exam center changed suddenly since yesterday,Exams / Results
Attendance portal is slow,IT / WiFi
Broken bench in classroom during peak hours,Infrastructure
Urgent: bus timings are inconvenient,Transport
No guidance for projects,Faculty / Academics
Food is overpriced in canteen since yesterday,Canteen
Urgent: ragging happening near canteen,Ragging / Safety
Need more cultural events in Block C,Other
Windows are jammed in Block C,Infrastructure
Urgent: bus ac not working,Transport
No seating space in peak hours,Canteen
Urgent: no drinking water near canteen,Canteen
Class is too fast to understand,Faculty / Academics
No dustbin in corridor during peak hours,Infrastructure
Answer scripts not uploaded in Block C,Exams / Results
Need more water coolers during peak hours,Other
Bus is late every morning in Block C,Transport
Canteen closes too early,Canteen
Dirty washroom in hostel block since yesterday,Hostel
Hostel WiFi not working during peak hours,Hostel
Document verification delayed,Fees / Admin
Urgent: classroom is too hot,Infrastructure
Urgent: no bus available for evening batch,Transport
Unfair internal marks given,Faculty / Academics
Urgent: food allergy info not available,Canteen
Urgent: bus route has been changed suddenly,Transport
ID card not issued during peak hours,Fees / Admin
Doubts not cleared in lab in Block C,Faculty / Academics
No dustbin in corridor in Block C,Infrastructure
Need career guidance sessions,Other
Feedback not considered,Faculty / Academics
College website is not opening since yesterday,IT / WiFi
LMS not loading videos during peak hours,IT / WiFi
Air circulation is poor since yesterday,Infrastructure
Urgent: exam results are delayed,Exams / Results
Urgent: office hours unclear,Fees / Admin
Urgent: air circulation is poor,Infrastructure
Question paper had errors since yesterday,Exams / Results
Need more water coolers in Block C,Other
Urgent: result portal is not loading,Exams / Results
Feeling unsafe in hostel at night since yesterday,Ragging / Safety
Exam timetable not released in Block C,Exams / Results
Captcha error on login,IT / WiFi
Fee deadline extension needed,Fees / Admin
Wardens not responding to complaints in Block C,Hostel
Urgent: air circulation is poor,Infrastructure
Broken bench in classroom in Block C,Infrastructure
Bus route has been changed suddenly,Transport
Duplicate fee charged,Fees / Admin
Question paper had errors since yesterday,Exams / Results
Doubts not cleared in lab in Block C,Faculty / Academics
Urgent: question paper had errors,Exams / Results
No ramps for accessibility during peak hours,Infrastructure
Seniors are harassing juniors in Block C,Ragging / Safety
Bus timings are inconvenient in Block C,Transport
Urgent: no notes provided by faculty,Faculty / Academics
Need more cultural events since yesterday,Other
Fan is not working in class,Infrastructure
Room fan is not working in hostel during peak hours,Hostel
Urgent: answer scripts not uploaded,Exams / Results
Limited food options available in Block C,Canteen
Broken bench in classroom during peak hours,Infrastructure
No escort service at night in Block C,Ragging / Safety
Seating arrangement confusion during peak hours,Exams / Results
Hostel WiFi not working,Hostel
Need more charging points since yesterday,Other
Windows are jammed since yesterday,Infrastructure
Urgent: bonafide certificate delayed,Fees / Admin
Urgent: no guidance for projects,Faculty / Academics
Network issue in library since yesterday,IT / WiFi
Urgent: security is not available in block b,Ragging / Safety
Food allergy info not available since yesterday,Canteen
Windows are jammed,Infrastructure
Urgent: need career guidance sessions,Other
Food allergy info not available in Block C,Canteen
Urgent: vpn access is failing,IT / WiFi
Internal marks not showing in Block C,Exams / Results
Scholarship amount not credited in Block C,Fees / Admin
Password reset not working during peak hours,IT / WiFi
Exam timetable not released,Exams / Results
Captcha error on login,IT / WiFi
Office is not responding since yesterday,Fees / Admin
Library closing too early in Block C,Other
Exam center changed suddenly in Block C,Exams / Results
Air circulation is poor,Infrastructure
Exam schedule overlaps,Exams / Results
Faculty is absent frequently,Faculty / Academics
Exam schedule overlaps since yesterday,Exams / Results
Urgent: room fan is not working in hostel,Hostel
Urgent: no ramps for accessibility,Infrastructure
No proper announcement system in Block C,Other
Need more charging points,Other
Menu prices not displayed during peak hours,Canteen
Limited food options available during peak hours,Canteen
Duplicate fee charged,Fees / Admin
Urgent: question paper had errors,Exams / Results
Lift not working in block C,Infrastructure
Urgent: revaluation result pending,Exams / Results
Admit card download failed during peak hours,Exams / Results
Network issue in library during peak hours,IT / WiFi
Transport fee is too high during peak hours,Transport
Classroom speakers not working in Block C,Infrastructure
Urgent: password reset not working,IT / WiFi
Portal shows error while uploading in Block C,IT / WiFi
Urgent: exam schedule overlaps,Exams / Results
Threats received from seniors,Ragging / Safety
Security guards not attentive during peak hours,Ragging / Safety
Lack of green spaces on campus in Block C,Other
Projector not working in seminar hall during peak hours,Infrastructure
Network issue in library since yesterday,IT / WiFi
Fan is not working in class in Block C,Infrastructure
Urgent: bus stop changed without notice,Transport
Safety signage missing,Ragging / Safety
Urgent: teaching quality is poor,Faculty / Academics
Hall ticket not generated during peak hours,Exams / Results
Seating arrangement confusion in Block C,Exams / Results
Hot water not available in hostel during peak hours,Hostel
Exam center changed suddenly during peak hours,Exams / Results
Projector not working in seminar hall in Block C,Infrastructure
Internet speed is very slow during peak hours,IT / WiFi
Orientation sessions are unclear in Block C,Other
Urgent: class is too fast to understand,Faculty / Academics
Syllabus not completed on time since yesterday,Faculty / Academics
Windows are jammed since yesterday,Infrastructure
Fees portal not opening during peak hours,Fees / Admin
Question paper had errors in Block C,Exams / Results
Urgent: food is stale,Canteen
WiFi is not working in the lab,IT / WiFi
Admin staff is rude in Block C,Fees / Admin
Server is down during submission since yesterday,IT / WiFi
No escort service at night during peak hours,Ragging / Safety
Office hours unclear in Block C,Fees / Admin
Food is overpriced in canteen during peak hours,Canteen
Need more study space during peak hours,Other
Wrong marks updated in portal since yesterday,Exams / Results
Urgent: syllabus not completed on time,Faculty / Academics
Urgent: driver drives rashly,Transport
Urgent: no ramps for accessibility,Infrastructure
No water in hostel bathroom since yesterday,Hostel
Document verification delayed during peak hours,Fees / Admin
Portal shows error while uploading during peak hours,IT / WiFi
Teacher arrives late to class during peak hours,Faculty / Academics
No response for TC request,Fees / Admin
Air circulation is poor during peak hours,Infrastructure
Long waiting time in canteen since yesterday,Canteen
Urgent: room light is flickering in hostel,Hostel
Safety signage missing since yesterday,Ragging / Safety
Urgent: feeling unsafe in hostel at night,Ragging / Safety
Bonafide certificate delayed in Block C,Fees / Admin
Bus is late every morning,Transport
Fees portal not opening during peak hours,Fees / Admin
No escort service at night since yesterday,Ragging / Safety
Urgent: no bus available for evening batch,Transport
Name correction request pending,Fees / Admin
Mosquito problem in hostel room,Hostel
Fees portal not opening since yesterday,Fees / Admin
Revaluation result pending since yesterday,Exams / Results
Fees payment failed but amount debited,Fees / Admin
Long waiting time in canteen during peak hours,Canteen
Urgent: attendance portal is slow,IT / WiFi
Need more water coolers,Other
Course outcomes not explained during peak hours,Faculty / Academics
Doubts not cleared in lab during peak hours,Faculty / Academics
Urgent: verbal abuse by seniors,Ragging / Safety
No bus available for evening batch during peak hours,Transport
Urgent: toilet is very dirty,Infrastructure
Network issue in library,IT / WiFi
No internet in classroom during peak hours,IT / WiFi
Admin staff is rude during peak hours,Fees / Admin
Hostel common area is unhygienic during peak hours,Hostel
College website is not opening,IT / WiFi
Bus seats are damaged in Block C,Transport
Two-factor authentication not working during peak hours,IT / WiFi
Food is overpriced in canteen during peak hours,Canteen
Wrong marks updated in portal during peak hours,Exams / Results
Toilet is very dirty during peak hours,Infrastructure
Urgent: answer scripts not uploaded,Exams / Results
No guidance for projects in Block C,Faculty / Academics
Office hours unclear in Block C,Fees / Admin
Urgent: unfair internal marks given,Faculty / Academics
Need more study space during peak hours,Other
Air circulation is poor since yesterday,Infrastructure
Lights are not working in corridor,Infrastructure
Bus is late every morning during peak hours,Transport
Canteen is overcrowded since yesterday,Canteen
Campus is too crowded during peak hours,Other
Course outcomes not explained during peak hours,Faculty / Academics
No drinking water near canteen during peak hours,Canteen
Hostel common area is unhygienic during peak hours,Hostel
Admit card download failed,Exams / Results
Urgent: teacher arrives late to class,Faculty / Academics
Projector not working in seminar hall during peak hours,Infrastructure
Emergency helpline not responding during peak hours,Ragging / Safety
Two-factor authentication not working since yesterday,IT / WiFi
Threats received from seniors,Ragging / Safety
Mentor meetings are irregular during peak hours,Faculty / Academics
Urgent: wifi disconnects frequently,IT / WiFi
No announcement about bus delays since yesterday,Transport
Server is down during submission,IT / WiFi
Seniors are harassing juniors in Block C,Ragging / Safety
Lift not working in block C,Infrastructure
No proper announcement system in Block C,Other
Room fan is not working in hostel since yesterday,Hostel
Exam timetable not released in Block C,Exams / Results
VPN access is failing,IT / WiFi
Bus cleanliness is poor during peak hours,Transport
Need more cultural events since yesterday,Other
No bus available for evening batch during peak hours,Transport
Parking space is insufficient during peak hours,Other
Library closing too early since yesterday,Other
Exam center changed suddenly since yesterday,Exams / Results
Utensils are dirty during peak hours,Canteen
Urgent: food is stale,Canteen
Urgent: lift not working in block c,Infrastructure
Canteen is overcrowded since yesterday,Canteen
Bullying in college campus in Block C,Ragging / Safety
Hostel food quality is very bad during peak hours,Hostel
Feeling unsafe in hostel at night during peak hours,Ragging / Safety
Canteen food quality is bad in Block C,Canteen
Duplicate fee charged in Block C,Fees / Admin
Room fan is not working in hostel during peak hours,Hostel
Urgent: lights are not working in corridor,Infrastructure
Hostel food quality is very bad,Hostel
Bus is late every morning in Block C,Transport
Server is down during submission during peak hours,IT / WiFi
Urgent: fee receipt not generated,Fees / Admin
Security is not available in block B in Block C,Ragging / Safety
Urgent: security is not available in block b,Ragging / Safety
Bus breakdown on the way during peak hours,Transport
Hostel food quality is very bad in Block C,Hostel
Internet speed is very slow since yesterday,IT / WiFi
Poor lighting in parking area since yesterday,Ragging / Safety
Captcha error on login during peak hours,IT / WiFi
Urgent: wrong marks updated in portal,Exams / Results
Feeling unsafe in hostel at night,Ragging / Safety
Urgent: no dustbin in corridor,Infrastructure
Answer scripts not uploaded in Block C,Exams / Results
Refund not processed in Block C,Fees / Admin
Urgent: bonafide certificate delayed,Fees / Admin
Lift not working in block C since yesterday,Infrastructure
Broken bench in classroom during peak hours,Infrastructure
Long waiting time in canteen since yesterday,Canteen
No quiet zones in library,Other
Urgent: emergency helpline not responding,Ragging / Safety
Doubts not cleared in lab in Block C,Faculty / Academics
Toilet is very dirty since yesterday,Infrastructure
Urgent: fees portal not opening,Fees / Admin
Verbal abuse by seniors,Ragging / Safety
Urgent: ragging happening near canteen,Ragging / Safety
Bus cleanliness is poor since yesterday,Transport
Bus is overcrowded,Transport
Emergency helpline not responding since yesterday,Ragging / Safety
Urgent: utensils are dirty,Canteen
Exam schedule overlaps in Block C,Exams / Results
Urgent: threats received from seniors,Ragging / Safety
No notes provided by faculty during peak hours,Faculty / Academics
No quiet zones in library during peak hours,Other
Urgent: need more study space,Other
Urgent: vpn access is failing,IT / WiFi
Bus cleanliness is poor during peak hours,Transport
Exam schedule overlaps in Block C,Exams / Results
Urgent: campus is too crowded,Other
Urgent: limited food options available,Canteen
Bed is broken in hostel room,Hostel
Teacher is not explaining properly,Faculty / Academics
Bus timings are inconvenient,Transport
Hostel food quality is very bad in Block C,Hostel
Wardens not responding to complaints since yesterday,Hostel
Refund not processed during peak hours,Fees / Admin
Transport fee is too high since yesterday,Transport
Water leakage in lab in Block C,Infrastructure
Bed is broken in hostel room in Block C,Hostel
Campus is too crowded in Block C,Other
Exam timetable not released during peak hours,Exams / Results
Lights are not working in corridor in Block C,Infrastructure
Internal marks not showing since yesterday,Exams / Results
Urgent: water leakage in lab,Infrastructure
Mosquito problem in hostel room during peak hours,Hostel
Drinking water cooler not working in hostel during peak hours,Hostel
Safety signage missing in Block C,Ragging / Safety
Long waiting time in canteen in Block C,Canteen
Urgent: unauthorized people entering campus,Ragging / Safety
Water leakage in lab during peak hours,Infrastructure
Document verification delayed in Block C,Fees / Admin
Result portal is not loading since yesterday,Exams / Results
Network issue in library since yesterday,IT / WiFi
Need more clubs and activities,Other
Driver drives rashly,Transport
Staff behavior is rude in canteen in Block C,Canteen
Projector not working in seminar hall in Block C,Infrastructure
Internet speed is very slow since yesterday,IT / WiFi
Wrong marks updated in portal in Block C,Exams / Results
Urgent: internal marks not showing,Exams / Results
Bus stop changed without notice during peak hours,Transport
Bus timings are inconvenient since yesterday,Transport
Security is not available in block B in Block C,Ragging / Safety
Faculty is absent frequently in Block C,Faculty / Academics
Hostel WiFi not working,Hostel
Urgent: bonafide certificate delayed,Fees / Admin
Password reset not working in Block C,IT / WiFi
Broken door lock in hostel room in Block C,Hostel
Refund not processed in Block C,Fees / Admin
Urgent: question paper had errors,Exams / Results
Threats received from seniors,Ragging / Safety
Threats received from seniors during peak hours,Ragging / Safety
Server is down during submission during peak hours,IT / WiFi
No announcement about bus delays since yesterday,Transport
Urgent: staff behavior is rude in canteen,Canteen
No seating space in peak hours since yesterday,Canteen
Classroom speakers not working during peak hours,Infrastructure
Urgent: name correction request pending,Fees / Admin
Urgent: canteen closes too early,Canteen
Hall ticket not generated during peak hours,Exams / Results
Campus is too crowded since yesterday,Other
Fees portal not opening,Fees / Admin
Attendance portal is slow in Block C,IT / WiFi
Teacher is not explaining properly since yesterday,Faculty / Academics
Exam results are delayed since yesterday,Exams / Results
Fee deadline extension needed during peak hours,Fees / Admin
Transport fee is too high in Block C,Transport
Food is stale since yesterday,Canteen
Mentor meetings are irregular since yesterday,Faculty / Academics
Admin staff is rude in Block C,Fees / Admin
No notes provided by faculty,Faculty / Academics
Sports equipment is damaged in Block C,Other
Captcha error on login in Block C,IT / WiFi
No drinking water near canteen,Canteen
No ramps for accessibility,Infrastructure
Utensils are dirty,Canteen
WiFi is not working in the lab in Block C,IT / WiFi
Network issue in library in Block C,IT / WiFi
Unable to login to student portal during peak hours,IT / WiFi
Urgent: revaluation result pending,Exams / Results
Fee receipt not generated since yesterday,Fees / Admin
Hostel WiFi not working in Block C,Hostel
Drinking water cooler not working in hostel since yesterday,Hostel
Air circulation is poor during peak hours,Infrastructure
Hostel food quality is very bad in Block C,Hostel
Canteen food quality is bad,Canteen
Fee deadline extension needed since yesterday,Fees / Admin
Broken bench in classroom during peak hours,Infrastructure
Urgent: lack of green spaces on campus,Other
Urgent: no escort service at night,Ragging / Safety
Bus route has been changed suddenly during peak hours,Transport
Teacher arrives late to class,Faculty / Academics
Urgent: question paper had errors,Exams / Results
Hostel common area is unhygienic during peak hours,Hostel
Urgent: menu prices not displayed,Canteen
Answer scripts not uploaded during peak hours,Exams / Results
Urgent: hall ticket not generated,Exams / Results
Bus AC not working,Transport
Server is down during submission in Block C,IT / WiFi
Limited food options available since yesterday,Canteen
Bus is late every morning,Transport
Urgent: cracked wall in classroom,Infrastructure
Wardens not responding to complaints in Block C,Hostel
Admin staff is rude since yesterday,Fees / Admin
No escort service at night in Block C,Ragging / Safety
Canteen is overcrowded since yesterday,Canteen
Urgent: no internet in classroom,IT / WiFi
Urgent: document verification delayed,Fees / Admin
Urgent: wifi is not working in the lab,IT / WiFi
ID card not issued,Fees / Admin
Wardens not responding to complaints in Block C,Hostel
Refund not processed during peak hours,Fees / Admin
Projector not working in seminar hall during peak hours,Infrastructure
Urgent: fee receipt not generated,Fees / Admin
Bus route has been changed suddenly during peak hours,Transport
Library closing too early,Other
No water in hostel bathroom since yesterday,Hostel
Need more clubs and activities since yesterday,Other
Parking space is insufficient,Other
Broken door lock in hostel room during peak hours,Hostel
Air circulation is poor,Infrastructure
Canteen food quality is bad,Canteen
Exam timetable not released since yesterday,Exams / Results
Urgent: door hinges are broken,Infrastructure
ID card not issued in Block C,Fees / Admin
Class is too fast to understand during peak hours,Faculty / Academics
Office is not responding in Block C,Fees / Admin
Teaching quality is poor in Block C,Faculty / Academics
No notes provided by faculty since yesterday,Faculty / Academics
Name correction request pending during peak hours,Fees / Admin
Need more study space during peak hours,Other
Need more clubs and activities,Other
Bus AC not working in Block C,Transport
Urgent: water leakage in lab,Infrastructure
Urgent: need more study space,Other
Class is too fast to understand in Block C,Faculty / Academics
Transport fee is too high since yesterday,Transport
Urgent: late announcement of exam changes,Exams / Results
Need more charging points during peak hours,Other
Server is down during submission in Block C,IT / WiFi
Refund not processed in Block C,Fees / Admin
Refund not processed,Fees / Admin
Orientation sessions are unclear during peak hours,Other
Admit card download failed in Block C,Exams / Results
Urgent: projector not working in seminar hall,Infrastructure
Poor lighting in parking area in Block C,Ragging / Safety
Bus stop changed without notice since yesterday,Transport
Water leakage in lab since yesterday,Infrastructure
Dirty washroom in hostel block in Block C,Hostel
Urgent: bus cleanliness is poor,Transport
Urgent: feeling unsafe in hostel at night,Ragging / Safety
Result portal is not loading,Exams / Results
Urgent: faculty is absent frequently,Faculty / Academics
Feeling unsafe in hostel at night,Ragging / Safety
Unauthorized people entering campus in Block C,Ragging / Safety
Long waiting time in canteen in Block C,Canteen
No ramps for accessibility,Infrastructure
No guidance for projects during peak hours,Faculty / Academics
No hygienic conditions in canteen in Block C,Canteen
Urgent: no ramps for accessibility,Infrastructure
ID card not issued during peak hours,Fees / Admin
Office hours unclear,Fees / Admin
Internet speed is very slow,IT / WiFi
No ramps for accessibility since yesterday,Infrastructure
Internet speed is very slow since yesterday,IT / WiFi
Urgent: late announcement of exam changes,Exams / Results
Urgent: office hours unclear,Fees / Admin
Bus stop changed without notice in Block C,Transport
Late announcement of exam changes in Block C,Exams / Results
Bus is overcrowded in Block C,Transport
Urgent: classroom speakers not working,Infrastructure
Water leakage in lab,Infrastructure
Urgent: projector not working in seminar hall,Infrastructure
Feeling unsafe in hostel at night during peak hours,Ragging / Safety
No seating space in peak hours during peak hours,Canteen
Canteen closes too early,Canteen
Unauthorized people entering campus since yesterday,Ragging / Safety
Hot water not available in hostel since yesterday,Hostel
Drinking water cooler not working in hostel,Hostel
Exam timetable not released during peak hours,Exams / Results
Driver drives rashly during peak hours,Transport
Emergency helpline not responding during peak hours,Ragging / Safety
Attendance portal is slow in Block C,IT / WiFi
Seating arrangement confusion during peak hours,Exams / Results
Room light is flickering in hostel,Hostel
Urgent: two-factor authentication not working,IT / WiFi
Canteen food quality is bad in Block C,Canteen
Staff behavior is rude in canteen since yesterday,Canteen
LMS not loading videos during peak hours,IT / WiFi
LMS not loading videos since yesterday,IT / WiFi
Menu prices not displayed in Block C,Canteen
Broken door lock in hostel room,Hostel
Staff behavior is rude in canteen since yesterday,Canteen
No dustbin in corridor,Infrastructure
Bus stop changed without notice during peak hours,Transport
Food is overpriced in canteen,Canteen
Exam schedule overlaps,Exams / Results
Scholarship amount not credited,Fees / Admin
Need more study space during peak hours,Other
LMS not loading videos during peak hours,IT / WiFi
Urgent: bus ac not working,Transport
Bus did not come today in Block C,Transport
Driver drives rashly,Transport
Need more charging points since yesterday,Other
Canteen closes too early since yesterday,Canteen
Need more study space in Block C,Other
Teaching quality is poor during peak hours,Faculty / Academics
Wardens not responding to complaints during peak hours,Hostel
Poor lighting in parking area since yesterday,Ragging / Safety
No announcement about bus delays during peak hours,Transport
No bus available for evening batch in Block C,Transport
No dustbin in corridor during peak hours,Infrastructure
Password reset not working in Block C,IT / WiFi
Urgent: hostel common area is unhygienic,Hostel
Urgent: name correction request pending,Fees / Admin
No seating space in peak hours,Canteen
Urgent: safety signage missing,Ragging / Safety
Room light is flickering in hostel in Block C,Hostel
WiFi is not working in the lab since yesterday,IT / WiFi
Admit card download failed,Exams / Results
Door hinges are broken,Infrastructure
Lack of green spaces on campus,Other
Result correction request pending,Exams / Results
Mosquito problem in hostel room in Block C,Hostel
Urgent: bus is overcrowded,Transport
Admin staff is rude,Fees / Admin
VPN access is failing in Block C,IT / WiFi
Feeling unsafe in hostel at night in Block C,Ragging / Safety
Need more charging points,Other
AC not cooling in hostel room during peak hours,Hostel
Teacher arrives late to class during peak hours,Faculty / Academics
Urgent: no notes provided by faculty,Faculty / Academics
Exam timetable not released since yesterday,Exams / Results
Emergency helpline not responding since yesterday,Ragging / Safety
Urgent: menu prices not displayed,Canteen
Urgent: canteen is overcrowded,Canteen
Staff behavior is rude in canteen in Block C,Canteen
Safety signage missing in Block C,Ragging / Safety
Urgent: no hygienic conditions in canteen,Canteen
Staff behavior is rude in canteen,Canteen
Fees portal not opening since yesterday,Fees / Admin
Unable to login to student portal during peak hours,IT / WiFi
No escort service at night during peak hours,Ragging / Safety
No digital payment accepted,Canteen
No dustbin in corridor,Infrastructure
Urgent: exam timetable not released,Exams / Results
Urgent: course outcomes not explained,Faculty / Academics
No ramps for accessibility during peak hours,Infrastructure
Network issue in library in Block C,IT / WiFi
No water in hostel bathroom in Block C,Hostel
WiFi disconnects frequently during peak hours,IT / WiFi
Urgent: duplicate fee charged,Fees / Admin
Verbal abuse by seniors since yesterday,Ragging / Safety
Classroom speakers not working in Block C,Infrastructure
Urgent: no cctv in corridor,Ragging / Safety
Urgent: lift not working in block c,Infrastructure
Urgent: feeling unsafe in hostel at night,Ragging / Safety
No dustbin in corridor in Block C,Infrastructure
Windows are jammed in Block C,Infrastructure
No quiet zones in library,Other
Urgent: classroom is too hot,Infrastructure
Faculty is absent frequently,Faculty / Academics
Dirty washroom in hostel block during peak hours,Hostel
Cracked wall in classroom,Infrastructure
Urgent: feedback not considered,Faculty / Academics
Suspicious activity near hostel gate in Block C,Ragging / Safety
Water leakage in lab,Infrastructure
Urgent: menu prices not displayed,Canteen
Urgent: staff behavior is rude in canteen,Canteen
Faculty is absent frequently during peak hours,Faculty / Academics
No bus available for evening batch,Transport
Urgent: internal marks not showing,Exams / Results
Urgent: result portal is not loading,Exams / Results
Canteen is overcrowded in Block C,Canteen
Hostel WiFi not working during peak hours,Hostel
Broken bench in classroom in Block C,Infrastructure
Urgent: exam center changed suddenly,Exams / Results
Sports equipment is damaged in Block C,Other
Urgent: class is too fast to understand,Faculty / Academics
No ramps for accessibility,Infrastructure
No response for TC request during peak hours,Fees / Admin
Admit card download failed in Block C,Exams / Results
Faculty behavior is rude during peak hours,Faculty / Academics
Urgent: bus is overcrowded,Transport
Faculty is absent frequently in Block C,Faculty / Academics
Faculty behavior is rude in Block C,Faculty / Academics
Urgent: no hygienic conditions in canteen,Canteen
Urgent: broken door lock in hostel room,Hostel
Urgent: canteen is overcrowded,Canteen
No response for TC request since yesterday,Fees / Admin
Seniors are harassing juniors,Ragging / Safety
Transport fee is too high,Transport
Feeling unsafe in hostel at night since yesterday,Ragging / Safety
WiFi is not working in the lab,IT / WiFi
Urgent: result correction request pending,Exams / Results
WiFi disconnects frequently,IT / WiFi
Urgent: driver drives rashly,Transport
Need career guidance sessions during peak hours,Other
Doubts not cleared in lab in Block C,Faculty / Academics
Unauthorized people entering campus during peak hours,Ragging / Safety
ID card not issued,Fees / Admin
Urgent: parking space is insufficient,Other
Faculty behavior is rude during peak hours,Faculty / Academics
College website is not opening during peak hours,IT / WiFi
No guidance for projects in Block C,Faculty / Academics
WiFi disconnects frequently,IT / WiFi
Urgent: limited food options available,Canteen
No hygienic conditions in canteen since yesterday,Canteen
Bus stop changed without notice during peak hours,Transport
Urgent: scholarship amount not credited,Fees / Admin
Sports equipment is damaged since yesterday,Other
Bus stop changed without notice during peak hours,Transport
Office hours unclear,Fees / Admin
Feeling unsafe in hostel at night since yesterday,Ragging / Safety
Projector not working in seminar hall in Block C,Infrastructure
Utensils are dirty since yesterday,Canteen
Urgent: bonafide certificate delayed,Fees / Admin
Security guards not attentive,Ragging / Safety
Air circulation is poor in Block C,Infrastructure
Food is overpriced in canteen during peak hours,Canteen
Scholarship amount not credited since yesterday,Fees / Admin
Air circulation is poor since yesterday,Infrastructure
Urgent: no quiet zones in library,Other
Food is overpriced in canteen since yesterday,Canteen
Urgent: hostel food quality is very bad,Hostel
Faculty is absent frequently in Block C,Faculty / Academics
Campus is too crowded since yesterday,Other
Broken door lock in hostel room,Hostel
No response for TC request since yesterday,Fees / Admin
Syllabus not completed on time in Block C,Faculty / Academics
Scholarship amount not credited during peak hours,Fees / Admin
Need more clubs and activities since yesterday,Other
Emergency helpline not responding since yesterday,Ragging / Safety
Dirty washroom in hostel block since yesterday,Hostel
Urgent: food allergy info not available,Canteen
Hall ticket not generated in Block C,Exams / Results
Late announcement of exam changes during peak hours,Exams / Results
ID card not issued since yesterday,Fees / Admin
No notes provided by faculty since yesterday,Faculty / Academics
Water leakage in lab,Infrastructure
Internet speed is very slow,IT / WiFi
No CCTV in corridor since yesterday,Ragging / Safety
Urgent: lights are not working in corridor,Infrastructure
Classroom is too hot during peak hours,Infrastructure
No response for TC request since yesterday,Fees / Admin
Internal marks not showing in Block C,Exams / Results
Mentor meetings are irregular in Block C,Faculty / Academics
Office is not responding in Block C,Fees / Admin
